x,y,u,v
43.16,-17.82,-34.76,7.49
32.88,9.59,-25.06,-20.12
21.66,-1.03,-30.70,11.82
38.28,-2.31,-39.27,11.08
41.55,-7.99,-35.79,16.27
39.92,1.03,-34.42,2.07
45.61,-6.94,-8.40,-20.19
24.40,5.96,-31.25,8.30
43.96,-2.95,-32.57,7.01
17.27,-6.11,-22.74,15.34
40.70,-13.26,-39.61,23.08
31.42,-0.64,-45.36,17.52
28.12,4.52,-28.70,1.19
44.96,-18.15,-36.52,18.34
41.83,-6.16,-35.42,10.42
31.51,-1.65,-30.37,7.78
43.21,-5.64,-33.45,-5.65
31.75,-6.43,-23.74,-4.65
12.77,-10.02,4.21,-7.34
43.71,-18.42,-52.15,30.03
42.94,-11.57,-33.39,0.53
37.41,-10.37,-38.77,17.19
31.56,-4.57,-24.51,2.23
41.29,-5.31,-42.30,15.45
42.88,-7.01,-44.87,20.41
32.96,-12.70,-24.94,2.94
33.40,4.80,-26.55,10.78
28.82,-1.71,-28.26,14.34
25.00,0.38,-18.59,1.07
36.85,-8.78,1.30,-7.03
39.49,11.68,-28.28,-13.61
34.99,3.27,-39.88,6.31
47.29,-7.52,-50.79,14.18
46.97,-15.47,-41.10,14.89
36.14,-7.69,-26.06,-4.48
29.58,0.27,-36.49,15.05
14.92,-13.21,-7.73,0.13
32.54,-1.22,-26.32,3.94
31.97,6.50,-26.91,1.20
35.89,-6.21,-5.20,-11.24
37.80,5.08,-38.61,10.51
29.00,9.02,-21.11,-19.70
33.50,0.48,-6.40,-5.71
46.13,2.91,-40.43,1.24
35.27,-1.49,-35.27,5.15
29.99,8.45,-15.11,-9.52
40.23,-6.88,-29.71,1.10
26.41,-1.70,-31.12,13.33
39.37,-1.96,-38.13,13.39
31.65,-0.82,-33.88,10.23
